author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
Тоболяков В.;Шаблон;Последние новости;Париж;газета;№2575;10.04.1928;проза;полный текст;;3;;
Зорич А.;Человек в кальсонах;Последние новости;Париж;газета;№2601;06.05.1928;проза;полный текст;;4;;
Зорич А.;Скорая помощь;Последние новости;Париж;газета;№2608;13.05.1928;проза;полный текст;;2;;
Ломакин И.;Самокритика;Последние новости;Париж;газета;№2615;20.05.1928;проза;полный текст;;4;;
Зощенко М.М.;Все в порядке;Последние новости;Париж;газета;№2629;03.06.1928;проза;полный текст;;4;;
Коварский М.;Проповедники;Последние новости;Париж;газета;№2636;10.06.1928;проза;полный текст;;4;;
Коварский М.;Летние впечатления Сени Зойкина;Последние новости;Париж;газета;№2678;22.07.1928;проза;полный текст;;3;;
Пришвин М.;Кость;Последние новости;Париж;газета;№2684;28.07.1928;проза;полный текст;;2;Красная новь;
Зощенко М.М.;Пожар;Последние новости;Париж;газета;№2716;29.08.1928;проза;полный текст;;3;;
Максимов Н.;Об архивариусе Галкине;Последние новости;Париж;газета;№2729;11.09.1928;проза;полный текст;;3;;
Дроздов А.;Три свидетеля;Последние новости;Париж;газета;№2736;18.09.1928;проза;полный текст;;4;Красная Нива;
Соколов-Микитов И.;Былины;Последние новости;Париж;газета;№2813;04.12.1928;проза;полный текст;;3;;
Зощенко М.М.;Баня в темноте;Последние новости;Париж;газета;№2829;11.12.1928;проза;полный текст;;3;;
Мазовский К.;Спец;Последние новости;Париж;газета;№2832;23.12.1928;проза;полный текст;;4;;
Зощенко М.М.;Пустое дело;Последние новости;Париж;газета;№2843;03.01.1929;проза;полный текст;;4;;
Пришвин М.;Журавлиная родина;Последние новости;Париж;газета;№2846;06.01.1929;проза;полный текст;;2—3;Новый мир;1929
Зощенко М.М.;Медицинский случай;Последние новости;Париж;газета;№2866;26.01.1929;проза;полный текст;;4;;
Зощенко М.М.;Серенада;Последние новости;Париж;газета;№2872;01.02.1929;проза;полный текст;;3;;
Зорич А.;Пьющие девушки;Последние новости;Париж;газета;№2894;23.02.1929;проза;полный текст;;4;Прожектор;
Зощенко М.М.;Материнство и младенчество;Последние новости;Париж;газета;№2929;30.03.1929;проза;полный текст;;4;;
Зощенко М.М.;Семейный купорос;Последние новости;Париж;газета;№2957;27.04.1929;проза;полный текст;;4;Петрополис, «Семейный купорос»;1929
Зощенко М.М.;Ростов;Последние новости;Париж;газета;№2964;04.05.1929;проза;полный текст;;4;Петрополис, «Семейный купорос»;1929
Зощенко М.М.;Сильнее смерти;Последние новости;Париж;газета;№2972;12.05.1929;проза;полный текст;;4;Петрополис, «Семейный купорос»;1929
Соколов-Микитов И.;Дороги;Последние новости;Париж;газета;№2977;17.05.1929;проза;полный текст;;2—3;Новый мир;1929
Зорич А.;Пари;Последние новости;Париж;газета;№2980;20.05.1929;проза;полный текст;;3;;
Зощенко М.М.;Домашнее средство;Последние новости;Париж;газета;№3000;09.06.1929;проза;полный текст;;5;;
Зощенко М.М.;Летняя передышка;Последние новости;Париж;газета;№3003;12.06.1929;проза;полный текст;;4;;
Зощенко М.М.;Тухлое дело;Последние новости;Париж;газета;№3014;23.06.1929;проза;полный текст;;4;;
Вольнов И.;Орел;Последние новости;Париж;газета;№3014;23.06.1929;проза;полный текст;;4;Красная новь;1929
Зощенко М.М.;Терпеть можно;Последние новости;Париж;газета;№3016;25.06.1929;проза;полный текст;;3;;
Инбер В.;Под Москвой;Последние новости;Париж;газета;№3028;07.07.1929;проза;полный текст;;3;;
Зорич А.;Автомат;Последние новости;Париж;газета;№3049;28.07.1929;проза;полный текст;;4;;
Зощенко М.М.;Необыкновенная история;Последние новости;Париж;газета;№3052;31.07.1929;проза;полный текст;;3;;
Караваева А.;В рабочей казарме;Последние новости;Париж;газета;№3058;06.08.1929;проза;полный текст;;4;Молодая гвардия;
Обручев С.;С аэроплана на оленей;Последние новости;Париж;газета;№3063;11.08.1929;проза;полный текст;;5;Новый мир;
Зощенко М.М.;Землетрясение;Последние новости;Париж;газета;№3112;29.09.1929;проза;полный текст;;3;;
Зощенко М.М.;Чистая выгода;Последние новости;Париж;газета;№3116;03.10.1929;проза;полный текст;;4;;
Зощенко М.М.;Семейное дело;Последние новости;Париж;газета;№3122;09.10.1929;проза;полный текст;;2;;
Травин Г.;Случай с перепупенко;Последние новости;Париж;газета;№3131;18.10.1929;проза;полный текст;;3;;
Зощенко М.М.;Расписка;Последние новости;Париж;газета;№3166;22.11.1929;проза;полный текст;;3;;
Зощенко М.М.;Горько;Последние новости;Париж;газета;№3191;17.12.1929;проза;полный текст;;4;;
Зощенко М.М.;Смешно;Последние новости;Париж;газета;№3219;14.01.1930;проза;полный текст;;4;;
Зощенко М.М.;О жеребце Ваське;Последние новости;Париж;газета;№3223;18.01.1930;проза;полный текст;;4;;
Зощенко М.М.;Обезьяний язык;Последние новости;Париж;газета;№3224;19.01.1930;проза;полный текст;;;;
Зорич А.;Родное пошехонье;Последние новости;Париж;газета;№3238;02.02.1930;проза;полный текст;;4;;
Зощенко М.М.;Не согласен;Последние новости;Париж;газета;№3248;12.02.1930;проза;полный текст;;3;;
Зощенко М.М.;Один день;Последние новости;Париж;газета;№3287;23.03.1930;проза;полный текст;;3;;
Зощенко М.М.;Психологическая история;Последние новости;Париж;газета;№3283;29.03.1930;проза;полный текст;;4;;
Зощенко М.М.;Не надо спекулировать;Последние новости;Париж;газета;№3353;28.05.1930;проза;полный текст;;3;;
Шолохов М.А.;Тихий Дон;Последние новости;Париж;газета;№3370;14.06.1930;проза;отрывок;Из 6 части;4;Красная Нива;
Самсонов Б.;Два специалиста;Последние новости;Париж;газета;№3385;29.06.1930;проза;полный текст;;2;;
Грамен Н.К.;Паршивые овцы;Последние новости;Париж;газета;№3413;27.07.1930;проза;полный текст;;5;;
Зощенко М.М.;Сторож;Последние новости;Париж;газета;№3416;30.07.1930;проза;полный текст;;3;;
Витязев Д.;Воздерживаюсь;Последние новости;Париж;газета;№3427;10.08.1930;проза;полный текст;;5;Звезда;
Строганов А.;В столовке;Последние новости;Париж;газета;№3441;24.08.1930;проза;полный текст;;4;Ревизор;
Зощенко М.М.;Лошадиное средство;Последние новости;Париж;газета;№3455;07.09.1930;проза;полный текст;;5;;
Тоболяков В.;Сапоги;Последние новости;Париж;газета;№3511;02.11.1930;проза;полный текст;;3;;
Зощенко М.М.;Необыкновенное происшествие;Последние новости;Париж;газета;№3573;03.01.1931;проза;полный текст;;4;;
Тоболяков В.;Развлечение;Последние новости;Париж;газета;№3630;01.03.1931;проза;полный текст;;2;;
Зощенко М.М.;Доктор медицины ;Последние новости;Париж;газета;№3745;24.06.1931;проза;полный текст;;3;Гослитиздат;1931
Зощенко М.М.;Не дают развернуться;Последние новости;Париж;газета;№3747;26.04.1931;проза;полный текст;;2;;
Бобров Н.;Собаки акад. И. П. Павлова;Последние новости;Париж;газета;№3800;18.08.1931;проза;полный текст;;4;Молодая гвардия;
Зощенко М.М.;Больные;Последние новости;Париж;газета;№3805;23.08.1931;проза;полный текст;;5;;
Бабель И.Э.;В подвале;Последние новости;Париж;газета;№3918;14.12.1931;проза;полный текст;;2–3;Новый мир;1931
Бабель И.Э.;Конец богадельни;Последние новости;Париж;газета;№3993;27.02.1932;проза;полный текст;;2—3;30 дней;1932
Бабель И.Э.;Дорога;Последние новости;Париж;газета;№4032;06.04.1932;проза;полный текст;;2;30 дней;1932
Зощенко М.М.;Слабая тара;Последние новости;Париж;газета;№4049;23.04.1932;проза;полный текст;;5;Крокодил;1932
Бабель И.Э.;Аргамак;Последние новости;Париж;газета;№4081;25.05.1932;проза;полный текст;;3;Новый мир;1932
Леонов Л.;Облава;Последние новости;Париж;газета;№4148;31.07.1932;проза;полный текст;;5;;
Леонов Л.;Скутаревский;Последние новости;Париж;газета;№4162;14.08.1932;проза;отрывок;Матвей Никеич;4;Новый мир;1932
Ильф И. И Петров Е.;Советский Робинзон ;Последние новости;Париж;газета;№4238;29.10.1932;проза;полный текст;;5;Известия;
Самойлович Р.;На крайнем Севере;Последние новости;Париж;газета;№4251;11.11.1932;проза;полный текст;;3;Сов.сборн;
Ильф И. И Петров Е.;Клоп;Последние новости;Париж;газета;№4284;14.12.1932;проза;полный текст;;2—3;Правда;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4308;07.01.1933;проза;отрывок;Зимой, после стрелецких казней;4;Вечерняя Москва;
Ильф И. И Петров Е.;Человек с гусем;Последние новости;Париж;газета;№4323;22.01.1933;проза;полный текст;;5;Правда;18.01.1933
Зощенко М.М.;Беспокойный старичок;Последние новости;Париж;газета;№4333;01.02.1933;проза;полный текст;;3;Крокодил;01.1933
Зощенко М.М.;Врачевание и психика;Последние новости;Париж;газета;№4341;09.02.1933;проза;полный текст;;5;Огонек;1933
Зощенко М.М.;Кража;Последние новости;Париж;газета;№4375;15.03.1933;проза;полный текст;;3;Крокодил;1933
Пришвин М.;Звери;Последние новости;Париж;газета;№4386;26.03.1933;проза;полный текст;;6;Новый мир;1932
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4408;17.04.1933;проза;отрывок;;2;Новый мир;
Зощенко М.М.;Свадьба;Последние новости;Париж;газета;№4421;30.04.1933;проза;отрывок;;6;Красная новь;1933
Зощенко М.М.;Свадьба;Последние новости;Париж;газета;№4422;01.05.1933;проза;отрывок;;3;Красная новь;1933
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4438;17.05.1933;проза;отрывок;;3;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4445;24.05.1933;проза;отрывок;;2—3;Красная новь;
Ильф И. И Петров Е.;Футбол;Последние новости;Париж;газета;№4448;27.05.1933;проза;полный текст;;5;Крокодил;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4463;11.06.1933;проза;отрывок;;5;Вечерняя Москва;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4485;03.07.1933;проза;отрывок;Карл XII, король шведский;3;Красная газета;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4505;23.07.1933;проза;отрывок;;7;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4511;29.07.1933;проза;отрывок;;4;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4533;20.08.1933;проза;отрывок;;5;Вечерняя Москва;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4534;21.08.1933;проза;отрывок;;3;Вечерняя Москва;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4539;26.08.1933;проза;отрывок;;4;Вечерняя Москва;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4540;27.08.1933;проза;отрывок;;5;Вечерняя Москва;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4557;13.09.1933;проза;отрывок;;3;Новый мир;
Ильф И. И Петров Е.;Красная парикмахерская;Последние новости;Париж;газета;№4558;14.09.1933;проза;полный текст;;5;;
Пришвин М.;На Дальнем Востоке;Последние новости;Париж;газета;№4565;21.09.1933;проза;полный текст;;4;Молодая гвардия;
Пришвин М.;Хромко и Игрунья (полярный роман);Последние новости;Париж;газета;№4581;07.10.1933;проза;полный текст;;5;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4667;01.01.1934;проза;отрывок;;4;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4671;05.01.1934;проза;отрывок;;2;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4706;09.02.1934;проза;отрывок;;5;Вечерняя Москва;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4708;11.02.1934;проза;отрывок;;6;Вечерняя Москва;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4714;18.02.1934;проза;отрывок;;5;Красная новь;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4742;18.03.1934;проза;отрывок;;4;;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4746;22.03.1934;проза;отрывок;;2;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4749;25.03.1934;проза;отрывок;;3;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4756;01.04.1934;проза;отрывок;;5;Красная газета;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4763;08.04.1934;проза;отрывок;;5—6;Литературная газета;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4773;18.04.1934;проза;отрывок;Глава четвертая;2;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4777;22.04.1934;проза;отрывок;;5—6;Новый мир;
Зощенко М.М.;Рассказ про одного спекулянта;Последние новости;Париж;газета;№4781;26.04.1934;проза;полный текст;;4;Изд. Писателей в Ленинграде ;1934
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4798;13.05.1934;проза;отрывок;;3;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4803;18.05.1934;проза;отрывок;;3;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4805;20.05.1934;проза;отрывок;;3;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4807;22.05.1934;проза;отрывок;;3;Новый мир;.
Ильф И. И Петров Е.;Костяная нога;Последние новости;Париж;газета;№4809;24.05.1934;проза;полный текст;;4;Правда;19.05.1934
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4824;08.06.1934;проза;отрывок;;3;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4826;10.06.1934;проза;отрывок;;3;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4832;16.06.1934;проза;отрывок;;3;Новый мир;
Толстой А.Н.;Петр 1;Последние новости;Париж;газета;№4833;17.06.1934;проза;отрывок;;4;Новый мир;
Ильф И. И Петров Е.;На купоросном фронте;Последние новости;Париж;газета;№5054;24.01.1935;проза;полный текст;;4;Правда;17.01.1935
Толстой А.Н.;Встреча Петра Первого с Екатериной;Последние новости;Париж;газета;№5134;14.04.1935;драма;отрывок;;5—6;Новый мир;1935
Шолохов М.А.;Тихий Дон;Последние новости;Париж;газета;№5136;16.04.1935;проза;отрывок;;4;Известия;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5141;21.04.1935;проза;отрывок;Детство;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5143;23.04.1935;проза;отрывок;Детство;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5155;05.05.1935;проза;отрывок;Детство;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5159;09.05.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5162;12.05.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5164;14.05.1935;проза;отрывок;Детство;4;Литературный современник;
Зощенко М.М.;Баня и люди;Последние новости;Париж;газета;№5166;16.05.1935;проза;полный текст;;4;Крокодил;1935
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5169;19.05.1935;проза;отрывок;Детство;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5171;21.05.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5176;26.05.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5185;04.06.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5190;09.06.1935;проза;отрывок;Детство;3;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5192;11.06.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5197;16.06.1935;проза;отрывок;Детство;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5199;18.06.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5204;23.06.1935;проза;отрывок;Детство;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5206;25.06.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5211;30.06.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5218;07.07.1935;проза;отрывок;Детство;5—6;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5224;13.07.1935;проза;отрывок;Детство;2;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5232;21.07.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5234;23.07.1935;проза;отрывок;Детство;3;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5239;28.07.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5241;30.07.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5246;04.08.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5248;06.08.1935;проза;отрывок;Детство;3;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5253;11.08.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5255;13.08.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5260;18.08.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5262;20.08.1935;проза;отрывок;Детство;3, 5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5267;25.08.1935;проза;отрывок;Детство;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5281;08.09.1935;проза;отрывок;Лицей;7;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5288;15.09.1935;проза;отрывок;Лицей;6;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5295;22.09.1935;проза;отрывок;Лицей;6;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5302;29.09.1935;проза;отрывок;Лицей;6;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5330;27.10.1935;проза;отрывок;Лицей;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5344;10.11.1935;проза;отрывок;Лицей;4;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5351;17.11.1935;проза;отрывок;Лицей;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5372;08.12.1935;проза;отрывок;Лицей;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5386;22.12.1935;проза;отрывок;Лицей;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5393;29.12.1935;проза;отрывок;Лицей;5;Литературный современник;
Тынянов Ю.;Пушкин;Последние новости;Париж;газета;№5400;05.01.1936;проза;отрывок;Лицей;4;Литературный современник;
Зощенко М.М.;Рассказ об имениннице;Последние новости;Париж;газета;№5511;25.04.1936;проза;полный текст;;5;Голубая книга;
Колосов А.;Случай на лугу;Последние новости;Париж;газета;№5630;23.08.1936;проза;полный текст;;6;Правда;
Зощенко М.М.;Поминки;Последние новости;Париж;газета;№5761;01.01.1937;проза;полный текст;;6;;
Ардов В.;Свободная торговля;Последние новости;Париж;газета;№5765;05.01.1937;проза;полный текст;;5;Крокодил;
Зощенко М.М.;Веселая игра;Последние новости;Париж;газета;№5888;09.05.1937;проза;полный текст;;5;;
Бабель И.Э.;Поцелуй;Последние новости;Париж;газета;№6011;09.09.1937;проза;полный текст;;4;Красная новь;
Бабель И.Э.;Ди Грассо;Последние новости;Париж;газета;№6019;17.09.1937;проза;полный текст;;5;Огонек;
Катаев В.;Немцы;Последние новости;Париж;газета;№6118;25.12.1937;проза;полный текст;;7;;
Катаев В.;Сваты;Последние новости;Париж;газета;№6125;01.01.1938;проза;полный текст;;6;;
Зощенко М.М.;Без радости любовь;Последние новости;Париж;газета;№6388;22.09.1938;проза;полный текст;;4;;
Зощенко М.М.;Клинический случай;Последние новости;Париж;газета;№6434;07.11.1938;проза;полный текст;;3;Крокодил;
Зощенко М.М.;Происшествие;Последние новости;Париж;газета;№6667;29.06.1939;проза;полный текст;;4;;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6671;03.07.1939;проза;полный текст;Синий лапоть;3;;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6671;03.07.1939;проза;полный текст;Копыто;3;;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6676;08.07.1939;проза;полный текст;Звери-кормильцы;4;Новый мир;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6676;08.07.1939;проза;полный текст;Пиковая дама;4;Новый мир;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6682;14.07.1939;проза;полный текст;Лимон;3;Новый мир;
Пришвин М.;Рассказы о животных;Последние новости;Париж;газета;№6682;14.07.1939;проза;полный текст;Лада;3;Новый мир;
Волошин М.;Неопалимая купина;Руль;Берлин;газета;№120;09.12.1920;стихи;полный текст;;3;;
Вольнов И.;Сход;Руль;Берлин;газета;№1038;04.05.1924;проза;отрывок;;2—3;Красная новь;
Вольнов И.;Сход;Руль;Берлин;газета;№1039;06.05.1924;проза;отрывок;;2—3;Красная новь;
Пришвин М.;Голубиная книга;Руль;Берлин;газета;№1044;11.05.1924;проза;полный текст;;2—3;Красная новь;
Леонов Л.;Записи некоторых эпизодов сделанные в городе Гогулеве Андреем Петровичем Ковякиным;Руль;Берлин;газета;№1062;03.06.1924;проза;отрывок;;2—3;Русский современник;
Сологуб Ф.;Не слышу слов, но мне понятна;Руль;Берлин;газета;№1068;11.06.1924;стихи;полный текст;;4;Русский современник;
Сологуб Ф.;Я сам закон игры установил;Руль;Берлин;газета;№1068;11.06.1924;стихи;полный текст;;4;Русский современник;
Сологуб Ф.;Безумствует жестокий рок;Руль;Берлин;газета;№1068;11.06.1924;стихи;полный текст;;4;Русский современник;
Сологуб Ф.;Ходит трепало;Руль;Берлин;газета;№1068;11.06.1924;стихи;полный текст;;4;Русский современник;
Леонов Л.;Конец мелкого человека;Руль;Берлин;газета;№1075;19.06.1924;проза;отрывок;;2—3;Красная новь;
Леонов Л.;Конец мелкого человека;Руль;Берлин;газета;№1076;20.06.1924;проза;отрывок;;2—3;Красная новь;
Инбер В.;Квартира №32;Руль;Берлин;газета;№1107;26.07.1924;проза;полный текст;;2—3;Красная Нива;
Шишков В.;Кострома;Руль;Берлин;газета;№1125;16.08.1924;проза;полный текст;;4;Известия;
Меньшой А. (А.Г. Гай);Старец Анисим;Руль;Берлин;газета;№1156;21.09.1924;проза;полный текст;;2—3;Известия;
Пильняк Б.А.;Отрывки из дневника;Руль;Берлин;газета;№1180;19.10.1924;проза;полный текст;;2—3;Круг;
Толстой А.Н.;Заговор императрицы;Руль;Берлин;газета;№1246;09.01.1925;драма;отрывок;2 картина первого действия;2—3;Жизнь искусства;
Щеголев П.;Заговор императрицы;Руль;Берлин;газета;№1246;09.01.1925;драма;отрывок;2 картина первого действия;2—3;Жизнь искусства;
Добычин Л.;Встречи с Лиз;Руль;Берлин;газета;№1275;12.02.1925;проза;полный текст;;2—3;Красная новь;
Инбер В.;Беспомощный учитель;Руль;Берлин;газета;№1281;19.02.1925;проза;полный текст;;2—3;Огонек;
Афрамеев Н.;Сверчок;Руль;Берлин;газета;№1297;10.03.1925;проза;полный текст;;2—3;Красная Нива;
Инбер В.;Трудная жизнь Муры;Руль;Берлин;газета;№1314;29.03.1925;проза;полный текст;;2—3;Огонек;
Есенин С.А.;Персидские мотивы;Руль;Берлин;газета;№1314;29.03.1925;стихи;полный текст;;8;;
Радимов П.;Телега;Руль;Берлин;газета;№1314;29.03.1925;проза;полный текст;;8;;
Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1320;05.04.1925;проза;отрывок;Три кита;8;Красная новь;
Пильняк Б.А.;На могиле Чехова;Руль;Берлин;газета;№1321;07.04.1925;проза;полный текст;;2;Красная новь;
Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1323;09.04.1925;проза;отрывок;Рябая корова;2—3;Красная новь;
Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1325;12.04.1925;проза;отрывок;Инструкция;5;Красная новь;
Зощенко М.М.;Самородок;Руль;Берлин;газета;№1325;12.04.1925;проза;полный текст;;7;Красная новь;
Маяковский В.В.;Тамара и Демон;Руль;Берлин;газета;№1325;12.04.1925;стихи;полный текст;;8;Красная новь;
Романов П.;Маленькие рассказы;Руль;Берлин;газета;№1330;19.04.1925;проза;отрывок;Святая женщина;8;Красная новь;
Зощенко М.М.;Мещанство;Руль;Берлин;газета;№1330;19.04.1925;проза;полный текст;;8;Бегемот;
Есенин С.А.;Несказанное, синее, нежное;Руль;Берлин;газета;№1336;26.04.1925;стихи;полный текст;;5;Красная новь;
Романов П.;Терпеливый народ;Руль;Берлин;газета;№1336;26.04.1925;проза;полный текст;;8;Красная новь;
Федорович В.;Леопольд Ауэра;Руль;Берлин;газета;№1336;26.04.1925;проза;полный текст;;7;;
Акульшин Р.;О чем шепчет деревня;Руль;Берлин;газета;№1349;12.05.1925;проза;полный текст;;2—3;Красная Нива;
Рен Л.;Охраняемое здравие;Руль;Берлин;газета;№1359;24.05.1925;проза;полный текст;;7;;
Флит Б.;Не догонишь;Руль;Берлин;газета;№1359;24.05.1925;проза;полный текст;;7;;
Козырев М.;Красная свадьба;Руль;Берлин;газета;№1359;24.05.1925;проза;полный текст;;8;Красная Нива;
Карпов Н.А.;Лекпом Коновалов;Руль;Берлин;газета;№1365;31.05.1925;проза;полный текст;;7;;
Зощенко М.М.;Доходная статья;Руль;Берлин;газета;№1365;31.05.1925;проза;полный текст;;7—8;;
Зощенко М.М.;Счастливое детство;Руль;Берлин;газета;№1360;07.06.1925;проза;полный текст;;7;Бегемот;
Пильняк Б.А.;Гибель «Свердрупа»;Руль;Берлин;газета;№1376;14.06.1925;проза;полный текст;;2—3;Красная новь;
Романов П.;Вредная штука;Руль;Берлин;газета;№1380;19.06.1925;проза;полный текст;;2—3;Красная новь;
Романов П.;Зеленая армия или уличные командиры;Руль;Берлин;газета;№1382;21.06.1925;проза;полный текст;;2—3;Красная новь;
Никитин Н.;Перед судом;Руль;Берлин;газета;№1386;26.06.1925;проза;полный текст;;2—3;Прожектор;
Инбер В.;Соловей и роза;Руль;Берлин;газета;№1388;28.06.1925;проза;полный текст;;2—3;Прожектор;
Ардов В.;Меры пресечения;Руль;Берлин;газета;№1388;28.06.1925;проза;полный текст;;7;Красный перец;
Ломакин И.;Сверчок;Руль;Берлин;газета;№1394;05.07.1925;проза;полный текст;;8;Бегемот;
Бабель И.Э.;Линия и цвет;Руль;Берлин;газета;№1394;05.07.1925;проза;полный текст;;9;;
Романов П.;Видение;Руль;Берлин;газета;№1400;12.07.1925;проза;отрывок;;2—3;Красная новь;
Романов П.;Видение;Руль;Берлин;газета;№1401;14.07.1925;проза;отрывок;;2—3;Красная новь;
Романов П.;Видение;Руль;Берлин;газета;№1403;16.07.1925;проза;отрывок;;2—3;Красная новь;
Романов П.;Видение;Руль;Берлин;газета;№1404;17.07.1925;проза;отрывок;;2—3;Красная новь;
